id,original_text,submitted_text,label,source,instructor_feedback
244,Machine learning enables systems to learn from data.,Data helps machines learn through machine learning.,AI_Generated,ChatGPT,Highly similar
245,Photosynthesis converts light energy into chemical energy.,Photosynthesis converts light energy into chemical energy.,Original,Student_Assigned,Too vague
246,Climate change is driven by greenhouse gases.,Global warming is caused by excess carbon emissions.,Human_Paraphrase,PAN,Too vague
247,Machine learning enables systems to learn from data.,Systems evolve by identifying patterns in datasets.,Human_Paraphrase,PAN,Too vague
248,Machine learning enables systems to learn from data.,Algorithms improve by training on large amounts of data.,AI_Generated,ChatGPT,Highly similar
249,Machine learning enables systems to learn from data.,Systems evolve by identifying patterns in datasets.,Human_Paraphrase,PAN,Well-written
250,Blockchain is a secure and decentralized record system.,Blockchain is a secure and decentralized record system.,Original,Student_Assigned,Highly similar
251,Machine learning enables systems to learn from data.,Machine learning enables systems to learn from data.,Original,Student_Assigned,NA
252,Photosynthesis converts light energy into chemical energy.,Photosynthesis converts light energy into chemical energy.,Verbatim_Plagiarism,PAN,Accurate paraphrase
253,Artificial intelligence is transforming modern industries.,Artificial intelligence is transforming modern industries.,Verbatim_Plagiarism,PAN,NA
254,Artificial intelligence is transforming modern industries.,Industries are adapting rapidly due to artificial intelligence.,AI_Generated,ChatGPT,Accurate paraphrase
255,Photosynthesis converts light energy into chemical energy.,Photosynthesis converts light energy into chemical energy.,Verbatim_Plagiarism,PAN,NA
256,Climate change is driven by greenhouse gases.,Climate change is driven by greenhouse gases.,Original,Student_Assigned,Well-written
257,Climate change is driven by greenhouse gases.,Greenhouse gases are the main reason for climate change.,AI_Generated,ChatGPT,Strong match
258,Climate change is driven by greenhouse gases.,Climate change is driven by greenhouse gases.,Verbatim_Plagiarism,PAN,NA
259,Climate change is driven by greenhouse gases.,Greenhouse gases are the main reason for climate change.,AI_Generated,ChatGPT,Too vague
260,Blockchain is a secure and decentralized record system.,The blockchain system secures transactions without central control.,AI_Generated,ChatGPT,NA
261,Photosynthesis converts light energy into chemical energy.,Light energy is turned into sugar in photosynthesis.,AI_Generated,ChatGPT,Too vague
262,Artificial intelligence is transforming modern industries.,AI technologies are revolutionizing modern companies.,Human_Paraphrase,PAN,Highly similar
263,Machine learning enables systems to learn from data.,Algorithms improve by training on large amounts of data.,Human_Paraphrase,PAN,Well-written
264,Blockchain is a secure and decentralized record system.,Decentralized ledgers like blockchain reduce fraud.,Human_Paraphrase,PAN,Well-written
265,Artificial intelligence is transforming modern industries.,Artificial intelligence is transforming modern industries.,Verbatim_Plagiarism,PAN,NA
266,Machine learning enables systems to learn from data.,Machine learning enables systems to learn from data.,Verbatim_Plagiarism,PAN,NA
267,Blockchain is a secure and decentralized record system.,Blockchain is a secure and decentralized record system.,Verbatim_Plagiarism,PAN,Well-written
268,Machine learning enables systems to learn from data.,Algorithms improve by training on large amounts of data.,Human_Paraphrase,PAN,Highly similar
269,Blockchain is a secure and decentralized record system.,Blockchain keeps data safe through distributed records.,Human_Paraphrase,PAN,Well-written
270,Artificial intelligence is transforming modern industries.,Artificial intelligence is transforming modern industries.,Verbatim_Plagiarism,PAN,Well-written
271,Machine learning enables systems to learn from data.,Machine learning enables systems to learn from data.,Original,Student_Assigned,Too vague
272,Blockchain is a secure and decentralized record system.,Blockchain keeps data safe through distributed records.,Human_Paraphrase,PAN,Highly similar
273,Photosynthesis converts light energy into chemical energy.,Plants use photosynthesis to make their own food.,AI_Generated,ChatGPT,Accurate paraphrase
274,Blockchain is a secure and decentralized record system.,Blockchain is a secure and decentralized record system.,Original,Student_Assigned,NA
275,Artificial intelligence is transforming modern industries.,AI is changing the way businesses operate.,AI_Generated,ChatGPT,Strong match
276,Machine learning enables systems to learn from data.,Machine learning enables systems to learn from data.,Original,Student_Assigned,Highly similar
277,Blockchain is a secure and decentralized record system.,The blockchain system secures transactions without central control.,AI_Generated,ChatGPT,Too vague
278,Photosynthesis converts light energy into chemical energy.,Photosynthesis converts light energy into chemical energy.,Verbatim_Plagiarism,PAN,Strong match
279,Machine learning enables systems to learn from data.,Systems evolve by identifying patterns in datasets.,AI_Generated,ChatGPT,Highly similar
280,Machine learning enables systems to learn from data.,Algorithms improve by training on large amounts of data.,Human_Paraphrase,PAN,Highly similar
281,Climate change is driven by greenhouse gases.,Climate change is driven by greenhouse gases.,Original,Student_Assigned,Well-written
282,Machine learning enables systems to learn from data.,Data helps machines learn through machine learning.,Human_Paraphrase,PAN,Well-written
283,Machine learning enables systems to learn from data.,Machine learning enables systems to learn from data.,Original,Student_Assigned,NA
284,Artificial intelligence is transforming modern industries.,AI is changing the way businesses operate.,AI_Generated,ChatGPT,Too vague
285,Photosynthesis converts light energy into chemical energy.,Photosynthesis converts light energy into chemical energy.,Verbatim_Plagiarism,PAN,NA
286,Photosynthesis converts light energy into chemical energy.,Photosynthesis creates energy from sunlight in plants.,Human_Paraphrase,PAN,Strong match
287,Artificial intelligence is transforming modern industries.,AI is changing the way businesses operate.,AI_Generated,ChatGPT,Highly similar
288,Machine learning enables systems to learn from data.,Systems evolve by identifying patterns in datasets.,AI_Generated,ChatGPT,Too vague
289,Photosynthesis converts light energy into chemical energy.,Plants use photosynthesis to make their own food.,Human_Paraphrase,PAN,NA
290,Photosynthesis converts light energy into chemical energy.,Photosynthesis converts light energy into chemical energy.,Verbatim_Plagiarism,PAN,Accurate paraphrase
291,Machine learning enables systems to learn from data.,Machine learning enables systems to learn from data.,Verbatim_Plagiarism,PAN,NA
292,Artificial intelligence is transforming modern industries.,AI is changing the way businesses operate.,Human_Paraphrase,PAN,Well-written
293,Blockchain is a secure and decentralized record system.,Blockchain is a secure and decentralized record system.,Verbatim_Plagiarism,PAN,Strong match
294,Climate change is driven by greenhouse gases.,Climate change is driven by greenhouse gases.,Verbatim_Plagiarism,PAN,Strong match
295,Machine learning enables systems to learn from data.,Algorithms improve by training on large amounts of data.,AI_Generated,ChatGPT,Accurate paraphrase
296,Artificial intelligence is transforming modern industries.,AI technologies are revolutionizing modern companies.,AI_Generated,ChatGPT,Highly similar
297,Artificial intelligence is transforming modern industries.,Industries are adapting rapidly due to artificial intelligence.,AI_Generated,ChatGPT,Accurate paraphrase
298,Climate change is driven by greenhouse gases.,The atmosphere traps heat due to gas emissions.,Human_Paraphrase,PAN,Well-written
299,Photosynthesis converts light energy into chemical energy.,Photosynthesis converts light energy into chemical energy.,Verbatim_Plagiarism,PAN,Highly similar
300,Blockchain is a secure and decentralized record system.,Blockchain is a secure and decentralized record system.,Original,Student_Assigned,NA
301,Photosynthesis converts light energy into chemical energy.,Photosynthesis converts light energy into chemical energy.,Verbatim_Plagiarism,PAN,NA
302,Blockchain is a secure and decentralized record system.,Decentralized ledgers like blockchain reduce fraud.,Human_Paraphrase,PAN,Well-written
303,Photosynthesis converts light energy into chemical energy.,Photosynthesis converts light energy into chemical energy.,Verbatim_Plagiarism,PAN,Well-written
304,Machine learning enables systems to learn from data.,Systems evolve by identifying patterns in datasets.,AI_Generated,ChatGPT,Strong match
305,Artificial intelligence is transforming modern industries.,Artificial intelligence is transforming modern industries.,Verbatim_Plagiarism,PAN,Strong match
306,Artificial intelligence is transforming modern industries.,Artificial intelligence is transforming modern industries.,Verbatim_Plagiarism,PAN,Well-written
307,Photosynthesis converts light energy into chemical energy.,Photosynthesis converts light energy into chemical energy.,Original,Student_Assigned,Highly similar
308,Photosynthesis converts light energy into chemical energy.,Plants use photosynthesis to make their own food.,AI_Generated,ChatGPT,Accurate paraphrase
309,Artificial intelligence is transforming modern industries.,Industries are adapting rapidly due to artificial intelligence.,Human_Paraphrase,PAN,Too vague
310,Artificial intelligence is transforming modern industries.,AI is changing the way businesses operate.,AI_Generated,ChatGPT,Accurate paraphrase
311,Climate change is driven by greenhouse gases.,Climate change is driven by greenhouse gases.,Original,Student_Assigned,NA
312,Blockchain is a secure and decentralized record system.,Blockchain is a secure and decentralized record system.,Verbatim_Plagiarism,PAN,Highly similar
313,Machine learning enables systems to learn from data.,Data helps machines learn through machine learning.,AI_Generated,ChatGPT,Highly similar
314,Photosynthesis converts light energy into chemical energy.,Photosynthesis converts light energy into chemical energy.,Original,Student_Assigned,NA
315,Artificial intelligence is transforming modern industries.,AI is changing the way businesses operate.,AI_Generated,ChatGPT,Accurate paraphrase
316,Climate change is driven by greenhouse gases.,Climate change is driven by greenhouse gases.,Original,Student_Assigned,NA
317,Photosynthesis converts light energy into chemical energy.,Light energy is turned into sugar in photosynthesis.,AI_Generated,ChatGPT,Too vague
318,Artificial intelligence is transforming modern industries.,Artificial intelligence is transforming modern industries.,Original,Student_Assigned,Too vague
319,Blockchain is a secure and decentralized record system.,Decentralized ledgers like blockchain reduce fraud.,Human_Paraphrase,PAN,Well-written
320,Artificial intelligence is transforming modern industries.,Artificial intelligence is transforming modern industries.,Original,Student_Assigned,NA
321,Machine learning enables systems to learn from data.,Machine learning enables systems to learn from data.,Original,Student_Assigned,Too vague
322,Climate change is driven by greenhouse gases.,Greenhouse gases are the main reason for climate change.,AI_Generated,ChatGPT,Strong match
323,Machine learning enables systems to learn from data.,Machine learning enables systems to learn from data.,Original,Student_Assigned,Strong match
324,Climate change is driven by greenhouse gases.,Greenhouse gases are the main reason for climate change.,Human_Paraphrase,PAN,NA
325,Artificial intelligence is transforming modern industries.,AI is changing the way businesses operate.,Human_Paraphrase,PAN,Strong match
326,Photosynthesis converts light energy into chemical energy.,Plants use photosynthesis to make their own food.,Human_Paraphrase,PAN,Well-written
327,Artificial intelligence is transforming modern industries.,AI technologies are revolutionizing modern companies.,Human_Paraphrase,PAN,Well-written
328,Blockchain is a secure and decentralized record system.,Blockchain is a secure and decentralized record system.,Original,Student_Assigned,Well-written
329,Artificial intelligence is transforming modern industries.,AI is changing the way businesses operate.,AI_Generated,ChatGPT,NA
330,Photosynthesis converts light energy into chemical energy.,Plants use photosynthesis to make their own food.,AI_Generated,ChatGPT,Too vague
331,Blockchain is a secure and decentralized record system.,Blockchain is a secure and decentralized record system.,Verbatim_Plagiarism,PAN,Well-written
332,Climate change is driven by greenhouse gases.,Climate change is driven by greenhouse gases.,Original,Student_Assigned,Highly similar
333,Blockchain is a secure and decentralized record system.,Blockchain is a secure and decentralized record system.,Original,Student_Assigned,Well-written
334,Artificial intelligence is transforming modern industries.,Artificial intelligence is transforming modern industries.,Original,Student_Assigned,NA
335,Climate change is driven by greenhouse gases.,Global warming is caused by excess carbon emissions.,Human_Paraphrase,PAN,Highly similar
336,Photosynthesis converts light energy into chemical energy.,Photosynthesis converts light energy into chemical energy.,Verbatim_Plagiarism,PAN,Too vague
337,Artificial intelligence is transforming modern industries.,Industries are adapting rapidly due to artificial intelligence.,AI_Generated,ChatGPT,Accurate paraphrase
338,Photosynthesis converts light energy into chemical energy.,Photosynthesis converts light energy into chemical energy.,Verbatim_Plagiarism,PAN,Accurate paraphrase
339,Artificial intelligence is transforming modern industries.,Artificial intelligence is transforming modern industries.,Original,Student_Assigned,Highly similar
340,Photosynthesis converts light energy into chemical energy.,Photosynthesis converts light energy into chemical energy.,Verbatim_Plagiarism,PAN,Highly similar
341,Artificial intelligence is transforming modern industries.,AI is changing the way businesses operate.,Human_Paraphrase,PAN,Well-written
342,Machine learning enables systems to learn from data.,Systems evolve by identifying patterns in datasets.,AI_Generated,ChatGPT,NA
343,Machine learning enables systems to learn from data.,Algorithms improve by training on large amounts of data.,AI_Generated,ChatGPT,Well-written
344,Machine learning enables systems to learn from data.,Algorithms improve by training on large amounts of data.,AI_Generated,ChatGPT,Highly similar
345,Photosynthesis converts light energy into chemical energy.,Photosynthesis converts light energy into chemical energy.,Original,Student_Assigned,NA
346,Blockchain is a secure and decentralized record system.,Blockchain is a secure and decentralized record system.,Original,Student_Assigned,Accurate paraphrase
347,Photosynthesis converts light energy into chemical energy.,Photosynthesis converts light energy into chemical energy.,Verbatim_Plagiarism,PAN,NA
348,Climate change is driven by greenhouse gases.,Greenhouse gases are the main reason for climate change.,AI_Generated,ChatGPT,NA
349,Artificial intelligence is transforming modern industries.,Artificial intelligence is transforming modern industries.,Original,Student_Assigned,Well-written
350,Photosynthesis converts light energy into chemical energy.,Photosynthesis creates energy from sunlight in plants.,AI_Generated,ChatGPT,Strong match
351,Blockchain is a secure and decentralized record system.,Decentralized ledgers like blockchain reduce fraud.,Human_Paraphrase,PAN,Too vague
352,Photosynthesis converts light energy into chemical energy.,Photosynthesis converts light energy into chemical energy.,Verbatim_Plagiarism,PAN,Well-written
353,Machine learning enables systems to learn from data.,Machine learning enables systems to learn from data.,Verbatim_Plagiarism,PAN,Accurate paraphrase
354,Blockchain is a secure and decentralized record system.,Decentralized ledgers like blockchain reduce fraud.,AI_Generated,ChatGPT,Too vague
355,Artificial intelligence is transforming modern industries.,Artificial intelligence is transforming modern industries.,Original,Student_Assigned,Accurate paraphrase
356,Artificial intelligence is transforming modern industries.,Industries are adapting rapidly due to artificial intelligence.,Human_Paraphrase,PAN,Accurate paraphrase
357,Climate change is driven by greenhouse gases.,The atmosphere traps heat due to gas emissions.,AI_Generated,ChatGPT,Highly similar
358,Artificial intelligence is transforming modern industries.,Artificial intelligence is transforming modern industries.,Verbatim_Plagiarism,PAN,Strong match
359,Photosynthesis converts light energy into chemical energy.,Photosynthesis creates energy from sunlight in plants.,Human_Paraphrase,PAN,Too vague
360,Blockchain is a secure and decentralized record system.,Decentralized ledgers like blockchain reduce fraud.,Human_Paraphrase,PAN,Accurate paraphrase
361,Artificial intelligence is transforming modern industries.,Artificial intelligence is transforming modern industries.,Original,Student_Assigned,Accurate paraphrase
362,Artificial intelligence is transforming modern industries.,Artificial intelligence is transforming modern industries.,Verbatim_Plagiarism,PAN,Too vague
363,Machine learning enables systems to learn from data.,Machine learning enables systems to learn from data.,Original,Student_Assigned,Too vague
364,Climate change is driven by greenhouse gases.,Greenhouse gases are the main reason for climate change.,Human_Paraphrase,PAN,Too vague
365,Climate change is driven by greenhouse gases.,The atmosphere traps heat due to gas emissions.,Human_Paraphrase,PAN,Strong match
366,Climate change is driven by greenhouse gases.,Climate change is driven by greenhouse gases.,Original,Student_Assigned,Accurate paraphrase
367,Machine learning enables systems to learn from data.,Machine learning enables systems to learn from data.,Verbatim_Plagiarism,PAN,Well-written
368,Blockchain is a secure and decentralized record system.,Blockchain keeps data safe through distributed records.,Human_Paraphrase,PAN,Too vague
369,Machine learning enables systems to learn from data.,Machine learning enables systems to learn from data.,Verbatim_Plagiarism,PAN,Well-written
370,Climate change is driven by greenhouse gases.,The atmosphere traps heat due to gas emissions.,Human_Paraphrase,PAN,Strong match
371,Artificial intelligence is transforming modern industries.,AI technologies are revolutionizing modern companies.,AI_Generated,ChatGPT,Too vague
372,Artificial intelligence is transforming modern industries.,Artificial intelligence is transforming modern industries.,Verbatim_Plagiarism,PAN,Too vague
373,Artificial intelligence is transforming modern industries.,AI technologies are revolutionizing modern companies.,Human_Paraphrase,PAN,Accurate paraphrase
374,Photosynthesis converts light energy into chemical energy.,Plants use photosynthesis to make their own food.,Human_Paraphrase,PAN,Highly similar
375,Photosynthesis converts light energy into chemical energy.,Photosynthesis converts light energy into chemical energy.,Verbatim_Plagiarism,PAN,Accurate paraphrase
376,Photosynthesis converts light energy into chemical energy.,Light energy is turned into sugar in photosynthesis.,AI_Generated,ChatGPT,Too vague
377,Blockchain is a secure and decentralized record system.,Blockchain is a secure and decentralized record system.,Original,Student_Assigned,Accurate paraphrase
378,Artificial intelligence is transforming modern industries.,Artificial intelligence is transforming modern industries.,Original,Student_Assigned,Too vague
379,Artificial intelligence is transforming modern industries.,Industries are adapting rapidly due to artificial intelligence.,AI_Generated,ChatGPT,Too vague
380,Climate change is driven by greenhouse gases.,Climate change is driven by greenhouse gases.,Verbatim_Plagiarism,PAN,Too vague
381,Artificial intelligence is transforming modern industries.,AI is changing the way businesses operate.,AI_Generated,ChatGPT,Well-written
382,Blockchain is a secure and decentralized record system.,Blockchain keeps data safe through distributed records.,Human_Paraphrase,PAN,Strong match
383,Blockchain is a secure and decentralized record system.,Blockchain is a secure and decentralized record system.,Original,Student_Assigned,Well-written
384,Machine learning enables systems to learn from data.,Data helps machines learn through machine learning.,AI_Generated,ChatGPT,Accurate paraphrase
385,Artificial intelligence is transforming modern industries.,Artificial intelligence is transforming modern industries.,Verbatim_Plagiarism,PAN,Highly similar
386,Climate change is driven by greenhouse gases.,Global warming is caused by excess carbon emissions.,AI_Generated,ChatGPT,Highly similar
387,Blockchain is a secure and decentralized record system.,Blockchain is a secure and decentralized record system.,Verbatim_Plagiarism,PAN,NA
388,Photosynthesis converts light energy into chemical energy.,Plants use photosynthesis to make their own food.,Human_Paraphrase,PAN,Too vague
389,Artificial intelligence is transforming modern industries.,Artificial intelligence is transforming modern industries.,Verbatim_Plagiarism,PAN,Strong match
390,Machine learning enables systems to learn from data.,Algorithms improve by training on large amounts of data.,AI_Generated,ChatGPT,Well-written
391,Blockchain is a secure and decentralized record system.,Blockchain is a secure and decentralized record system.,Verbatim_Plagiarism,PAN,Accurate paraphrase
392,Blockchain is a secure and decentralized record system.,Blockchain is a secure and decentralized record system.,Verbatim_Plagiarism,PAN,NA
393,Climate change is driven by greenhouse gases.,Climate change is driven by greenhouse gases.,Original,Student_Assigned,Strong match
394,Artificial intelligence is transforming modern industries.,Artificial intelligence is transforming modern industries.,Verbatim_Plagiarism,PAN,Accurate paraphrase
395,Machine learning enables systems to learn from data.,Algorithms improve by training on large amounts of data.,Human_Paraphrase,PAN,Accurate paraphrase
396,Photosynthesis converts light energy into chemical energy.,Photosynthesis converts light energy into chemical energy.,Original,Student_Assigned,Accurate paraphrase
397,Photosynthesis converts light energy into chemical energy.,Light energy is turned into sugar in photosynthesis.,Human_Paraphrase,PAN,NA
398,Photosynthesis converts light energy into chemical energy.,Plants use photosynthesis to make their own food.,AI_Generated,ChatGPT,Highly similar
399,Machine learning enables systems to learn from data.,Algorithms improve by training on large amounts of data.,AI_Generated,ChatGPT,Well-written
400,Climate change is driven by greenhouse gases.,Climate change is driven by greenhouse gases.,Original,Student_Assigned,Strong match
401,Blockchain is a secure and decentralized record system.,Blockchain is a secure and decentralized record system.,Verbatim_Plagiarism,PAN,Well-written
402,Climate change is driven by greenhouse gases.,Climate change is driven by greenhouse gases.,Original,Student_Assigned,Highly similar
403,Machine learning enables systems to learn from data.,Machine learning enables systems to learn from data.,Verbatim_Plagiarism,PAN,Well-written
404,Artificial intelligence is transforming modern industries.,Industries are adapting rapidly due to artificial intelligence.,AI_Generated,ChatGPT,Well-written
405,Blockchain is a secure and decentralized record system.,Blockchain keeps data safe through distributed records.,Human_Paraphrase,PAN,Too vague
406,Blockchain is a secure and decentralized record system.,Blockchain is a secure and decentralized record system.,Verbatim_Plagiarism,PAN,Too vague
407,Artificial intelligence is transforming modern industries.,Artificial intelligence is transforming modern industries.,Verbatim_Plagiarism,PAN,NA
408,Blockchain is a secure and decentralized record system.,Decentralized ledgers like blockchain reduce fraud.,Human_Paraphrase,PAN,Accurate paraphrase
409,Climate change is driven by greenhouse gases.,Greenhouse gases are the main reason for climate change.,Human_Paraphrase,PAN,Well-written
410,Machine learning enables systems to learn from data.,Machine learning enables systems to learn from data.,Original,Student_Assigned,NA
411,Blockchain is a secure and decentralized record system.,Blockchain is a secure and decentralized record system.,Original,Student_Assigned,Accurate paraphrase
412,Artificial intelligence is transforming modern industries.,Artificial intelligence is transforming modern industries.,Verbatim_Plagiarism,PAN,Too vague
413,Photosynthesis converts light energy into chemical energy.,Plants use photosynthesis to make their own food.,AI_Generated,ChatGPT,Accurate paraphrase
414,Photosynthesis converts light energy into chemical energy.,Photosynthesis creates energy from sunlight in plants.,Human_Paraphrase,PAN,Highly similar
415,Climate change is driven by greenhouse gases.,Global warming is caused by excess carbon emissions.,Human_Paraphrase,PAN,Accurate paraphrase
416,Machine learning enables systems to learn from data.,Algorithms improve by training on large amounts of data.,Human_Paraphrase,PAN,Accurate paraphrase
417,Blockchain is a secure and decentralized record system.,Decentralized ledgers like blockchain reduce fraud.,AI_Generated,ChatGPT,Too vague
418,Artificial intelligence is transforming modern industries.,AI is changing the way businesses operate.,Human_Paraphrase,PAN,Strong match
419,Blockchain is a secure and decentralized record system.,Blockchain is a secure and decentralized record system.,Verbatim_Plagiarism,PAN,Highly similar
420,Climate change is driven by greenhouse gases.,Climate change is driven by greenhouse gases.,Verbatim_Plagiarism,PAN,Well-written
421,Machine learning enables systems to learn from data.,Systems evolve by identifying patterns in datasets.,AI_Generated,ChatGPT,Well-written
422,Artificial intelligence is transforming modern industries.,AI is changing the way businesses operate.,Human_Paraphrase,PAN,Accurate paraphrase
423,Blockchain is a secure and decentralized record system.,The blockchain system secures transactions without central control.,AI_Generated,ChatGPT,Well-written
424,Machine learning enables systems to learn from data.,Machine learning enables systems to learn from data.,Original,Student_Assigned,Strong match
425,Machine learning enables systems to learn from data.,Machine learning enables systems to learn from data.,Original,Student_Assigned,NA
426,Climate change is driven by greenhouse gases.,Greenhouse gases are the main reason for climate change.,AI_Generated,ChatGPT,Accurate paraphrase
427,Machine learning enables systems to learn from data.,Data helps machines learn through machine learning.,Human_Paraphrase,PAN,Too vague
428,Artificial intelligence is transforming modern industries.,Artificial intelligence is transforming modern industries.,Original,Student_Assigned,Highly similar
429,Climate change is driven by greenhouse gases.,Climate change is driven by greenhouse gases.,Verbatim_Plagiarism,PAN,NA
430,Climate change is driven by greenhouse gases.,Climate change is driven by greenhouse gases.,Verbatim_Plagiarism,PAN,Accurate paraphrase
431,Artificial intelligence is transforming modern industries.,Artificial intelligence is transforming modern industries.,Verbatim_Plagiarism,PAN,Too vague
432,Artificial intelligence is transforming modern industries.,Artificial intelligence is transforming modern industries.,Original,Student_Assigned,Well-written
433,Blockchain is a secure and decentralized record system.,Decentralized ledgers like blockchain reduce fraud.,AI_Generated,ChatGPT,NA
434,Artificial intelligence is transforming modern industries.,Industries are adapting rapidly due to artificial intelligence.,Human_Paraphrase,PAN,Highly similar
435,Artificial intelligence is transforming modern industries.,AI is changing the way businesses operate.,AI_Generated,ChatGPT,Strong match
436,Machine learning enables systems to learn from data.,Machine learning enables systems to learn from data.,Original,Student_Assigned,Highly similar
437,Photosynthesis converts light energy into chemical energy.,Photosynthesis converts light energy into chemical energy.,Original,Student_Assigned,NA
438,Artificial intelligence is transforming modern industries.,Industries are adapting rapidly due to artificial intelligence.,Human_Paraphrase,PAN,Highly similar
439,Blockchain is a secure and decentralized record system.,Blockchain is a secure and decentralized record system.,Verbatim_Plagiarism,PAN,Highly similar
440,Climate change is driven by greenhouse gases.,Climate change is driven by greenhouse gases.,Verbatim_Plagiarism,PAN,Highly similar
441,Photosynthesis converts light energy into chemical energy.,Light energy is turned into sugar in photosynthesis.,Human_Paraphrase,PAN,Too vague
442,Blockchain is a secure and decentralized record system.,Blockchain is a secure and decentralized record system.,Original,Student_Assigned,Accurate paraphrase
443,Photosynthesis converts light energy into chemical energy.,Photosynthesis converts light energy into chemical energy.,Verbatim_Plagiarism,PAN,Strong match
444,Photosynthesis converts light energy into chemical energy.,Light energy is turned into sugar in photosynthesis.,Human_Paraphrase,PAN,Highly similar
445,Machine learning enables systems to learn from data.,Algorithms improve by training on large amounts of data.,Human_Paraphrase,PAN,Highly similar
446,Blockchain is a secure and decentralized record system.,Blockchain is a secure and decentralized record system.,Original,Student_Assigned,Well-written
447,Climate change is driven by greenhouse gases.,Global warming is caused by excess carbon emissions.,AI_Generated,ChatGPT,Highly similar
448,Artificial intelligence is transforming modern industries.,AI technologies are revolutionizing modern companies.,AI_Generated,ChatGPT,Accurate paraphrase
449,Artificial intelligence is transforming modern industries.,Artificial intelligence is transforming modern industries.,Original,Student_Assigned,Highly similar
450,Climate change is driven by greenhouse gases.,Global warming is caused by excess carbon emissions.,AI_Generated,ChatGPT,Too vague
451,Photosynthesis converts light energy into chemical energy.,Photosynthesis converts light energy into chemical energy.,Original,Student_Assigned,Well-written
452,Artificial intelligence is transforming modern industries.,AI is changing the way businesses operate.,Human_Paraphrase,PAN,Too vague
453,Photosynthesis converts light energy into chemical energy.,Plants use photosynthesis to make their own food.,Human_Paraphrase,PAN,Strong match
454,Artificial intelligence is transforming modern industries.,Industries are adapting rapidly due to artificial intelligence.,Human_Paraphrase,PAN,Too vague
455,Photosynthesis converts light energy into chemical energy.,Photosynthesis converts light energy into chemical energy.,Original,Student_Assigned,Strong match
456,Photosynthesis converts light energy into chemical energy.,Light energy is turned into sugar in photosynthesis.,Human_Paraphrase,PAN,Too vague
457,Photosynthesis converts light energy into chemical energy.,Photosynthesis converts light energy into chemical energy.,Verbatim_Plagiarism,PAN,Well-written
458,Photosynthesis converts light energy into chemical energy.,Photosynthesis creates energy from sunlight in plants.,AI_Generated,ChatGPT,Too vague
459,Machine learning enables systems to learn from data.,Machine learning enables systems to learn from data.,Original,Student_Assigned,NA
460,Climate change is driven by greenhouse gases.,The atmosphere traps heat due to gas emissions.,Human_Paraphrase,PAN,Too vague
461,Blockchain is a secure and decentralized record system.,The blockchain system secures transactions without central control.,Human_Paraphrase,PAN,Highly similar
462,Machine learning enables systems to learn from data.,Algorithms improve by training on large amounts of data.,Human_Paraphrase,PAN,Strong match
463,Climate change is driven by greenhouse gases.,The atmosphere traps heat due to gas emissions.,AI_Generated,ChatGPT,Highly similar
464,Machine learning enables systems to learn from data.,Machine learning enables systems to learn from data.,Verbatim_Plagiarism,PAN,Too vague
465,Artificial intelligence is transforming modern industries.,AI technologies are revolutionizing modern companies.,Human_Paraphrase,PAN,Highly similar
466,Photosynthesis converts light energy into chemical energy.,Light energy is turned into sugar in photosynthesis.,Human_Paraphrase,PAN,Well-written
467,Machine learning enables systems to learn from data.,Machine learning enables systems to learn from data.,Verbatim_Plagiarism,PAN,Strong match
468,Blockchain is a secure and decentralized record system.,Decentralized ledgers like blockchain reduce fraud.,AI_Generated,ChatGPT,Strong match
469,Blockchain is a secure and decentralized record system.,Decentralized ledgers like blockchain reduce fraud.,Human_Paraphrase,PAN,Strong match
470,Artificial intelligence is transforming modern industries.,Industries are adapting rapidly due to artificial intelligence.,Human_Paraphrase,PAN,NA
471,Photosynthesis converts light energy into chemical energy.,Photosynthesis converts light energy into chemical energy.,Original,Student_Assigned,Highly similar
472,Artificial intelligence is transforming modern industries.,Artificial intelligence is transforming modern industries.,Verbatim_Plagiarism,PAN,Strong match
473,Photosynthesis converts light energy into chemical energy.,Photosynthesis converts light energy into chemical energy.,Verbatim_Plagiarism,PAN,Accurate paraphrase
474,Photosynthesis converts light energy into chemical energy.,Photosynthesis converts light energy into chemical energy.,Verbatim_Plagiarism,PAN,Too vague
475,Climate change is driven by greenhouse gases.,The atmosphere traps heat due to gas emissions.,Human_Paraphrase,PAN,NA
476,Climate change is driven by greenhouse gases.,Global warming is caused by excess carbon emissions.,AI_Generated,ChatGPT,NA
477,Photosynthesis converts light energy into chemical energy.,Photosynthesis creates energy from sunlight in plants.,AI_Generated,ChatGPT,Too vague
478,Photosynthesis converts light energy into chemical energy.,Photosynthesis creates energy from sunlight in plants.,Human_Paraphrase,PAN,Strong match
479,Climate change is driven by greenhouse gases.,Climate change is driven by greenhouse gases.,Verbatim_Plagiarism,PAN,Accurate paraphrase
480,Climate change is driven by greenhouse gases.,The atmosphere traps heat due to gas emissions.,AI_Generated,ChatGPT,Highly similar
481,Climate change is driven by greenhouse gases.,Climate change is driven by greenhouse gases.,Original,Student_Assigned,Highly similar
482,Artificial intelligence is transforming modern industries.,Artificial intelligence is transforming modern industries.,Original,Student_Assigned,Highly similar
483,Photosynthesis converts light energy into chemical energy.,Photosynthesis creates energy from sunlight in plants.,Human_Paraphrase,PAN,NA
484,Climate change is driven by greenhouse gases.,Global warming is caused by excess carbon emissions.,Human_Paraphrase,PAN,Strong match
